INDEX,EMPRESA,CATEGORIA,DESCRIPCION,MONTO,FECHA
199,BELGRANO SUR,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,5037701.27,2019-07-01
200,BELGRANO SUR,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,16794547.33,2019-07-01
201,BELGRANO SUR,OPERACION,LIMPIEZA,1788855.5,2019-07-01
202,BELGRANO SUR,OPERACION,LOGISTICA DE RECAUDACION,1015810.02,2019-07-01
203,BELGRANO SUR,OPERACION,SEGURIDAD,10534330.2,2019-07-01
204,BELGRANO SUR,OPERACION,SEGUROS,669522.85,2019-07-01
205,BELGRANO SUR,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1916106.66,2019-07-01
206,BELGRANO SUR,OPERACION,COMBUSTIBLES Y ENERGIA,19296401.28,2019-07-01
207,BELGRANO SUR,PERSONAL,PERSONAL,227902688.11,2019-07-01
208,MITRE,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-07-01
209,MITRE,INVERSION,MATERIAL RODANTE,7810332.0064,2019-07-01
210,MITRE,INVERSION,SENALES Y TELECOMUNICACIONES,108900.0,2019-07-01
211,MITRE,INVERSION,VIAS Y OBRAS,86816457.7777,2019-07-01
212,MITRE,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,6394132.42,2019-07-01
213,MITRE,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,16657443.06,2019-07-01
214,MITRE,OPERACION,LIMPIEZA,5129870.72,2019-07-01
215,MITRE,OPERACION,LOGISTICA DE RECAUDACION,1782161.41,2019-07-01
216,MITRE,OPERACION,SEGURIDAD,2941589.74,2019-07-01
217,MITRE,OPERACION,SEGUROS,77245.68,2019-07-01
218,MITRE,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,4504554.3,2019-07-01
219,MITRE,OPERACION,COMBUSTIBLES Y ENERGIA,23591154.93,2019-07-01
220,MITRE,PERSONAL,PERSONAL,491714962.95,2019-07-01
221,ROCA,INVERSION,MANTENIMIENTO ELECTRICO,39530.7,2019-07-01
222,ROCA,INVERSION,MATERIAL RODANTE,47715874.4945,2019-07-01
223,ROCA,INVERSION,SENALES Y TELECOMUNICACIONES,2857462.5431,2019-07-01
224,ROCA,INVERSION,VIAS Y OBRAS,74503826.1972,2019-07-01
225,ROCA,OPERACION,COMBUSTIBLES Y ENERGIA,57211957.38,2019-07-01
226,ROCA,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,1670849.81,2019-07-01
227,ROCA,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,16659431.8,2019-07-01
228,ROCA,OPERACION,LIMPIEZA,2006913.84,2019-07-01
229,ROCA,OPERACION,LOGISTICA DE RECAUDACION,4003994.42,2019-07-01
230,ROCA,OPERACION,SEGURIDAD,1779343.23,2019-07-01
231,ROCA,OPERACION,SEGUROS,1127939.37,2019-07-01
232,ROCA,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2219428.61,2019-07-01
233,ROCA,PERSONAL,PERSONAL,715904567.1,2019-07-01
234,SAN MARTIN,INVERSION,MATERIAL RODANTE,49916679.3202,2019-07-01
235,SAN MARTIN,INVERSION,SENALES Y TELECOMUNICACIONES,0.0,2019-07-01
236,SAN MARTIN,INVERSION,VIAS Y OBRAS,19541891.5763,2019-07-01
237,SAN MARTIN,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-07-01
238,SAN MARTIN,OPERACION,COMBUSTIBLES Y ENERGIA,34800923.99,2019-07-01
239,SAN MARTIN,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,3287996.73,2019-07-01
240,SAN MARTIN,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,11102112.02,2019-07-01
241,SAN MARTIN,OPERACION,LIMPIEZA,779163.65,2019-07-01
242,SAN MARTIN,OPERACION,LOGISTICA DE RECAUDACION,1304076.64,2019-07-01
243,SAN MARTIN,OPERACION,SEGURIDAD,23866781.89,2019-07-01
244,SAN MARTIN,OPERACION,SEGUROS,216133.83,2019-07-01
245,SAN MARTIN,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1724895.0,2019-07-01
246,SAN MARTIN,PERSONAL,PERSONAL,304073100.47,2019-07-01
247,SARMIENTO,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-07-01
248,SARMIENTO,INVERSION,MATERIAL RODANTE,10953554.3063,2019-07-01
249,SARMIENTO,INVERSION,SENALES Y TELECOMUNICACIONES,462671.78,2019-07-01
250,SARMIENTO,INVERSION,VIAS Y OBRAS,68148270.9587,2019-07-01
251,SARMIENTO,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,2298931.44,2019-07-01
252,SARMIENTO,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,12858475.25,2019-07-01
253,SARMIENTO,OPERACION,LIMPIEZA,11259372.09,2019-07-01
254,SARMIENTO,OPERACION,LOGISTICA DE RECAUDACION,1340783.13,2019-07-01
255,SARMIENTO,OPERACION,SEGURIDAD,23331265.14,2019-07-01
256,SARMIENTO,OPERACION,SEGUROS,342594.71,2019-07-01
257,SARMIENTO,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2063704.92,2019-07-01
258,SARMIENTO,OPERACION,COMBUSTIBLES Y ENERGIA,39551154.72,2019-07-01
259,SARMIENTO,PERSONAL,PERSONAL,390887033.17,2019-07-01
260,BELGRANO SUR,INVERSION,MATERIAL RODANTE,2381182.6586,2019-06-01
261,BELGRANO SUR,INVERSION,SENALES Y TELECOMUNICACIONES,8796.9201,2019-06-01
262,BELGRANO SUR,INVERSION,VIAS Y OBRAS,9419646.4107,2019-06-01
263,BELGRANO SUR,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-06-01
264,BELGRANO SUR,OPERACION,COMBUSTIBLES Y ENERGIA,41020821.52,2019-06-01
265,BELGRANO SUR,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,1722223.6,2019-06-01
266,BELGRANO SUR,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,4135102.97,2019-06-01
267,BELGRANO SUR,OPERACION,LIMPIEZA,298250.94,2019-06-01
268,BELGRANO SUR,OPERACION,LOGISTICA DE RECAUDACION,1018760.35,2019-06-01
269,BELGRANO SUR,OPERACION,SEGURIDAD,10584475.09,2019-06-01
270,BELGRANO SUR,OPERACION,SEGUROS,0.0,2019-06-01
271,BELGRANO SUR,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,476213.9,2019-06-01
272,BELGRANO SUR,PERSONAL,PERSONAL,239018688.38,2019-06-01
273,MITRE,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-06-01
274,MITRE,INVERSION,MATERIAL RODANTE,8880550.0747,2019-06-01
275,MITRE,INVERSION,SENALES Y TELECOMUNICACIONES,151250.0,2019-06-01
276,MITRE,INVERSION,VIAS Y OBRAS,55526906.1014,2019-06-01
277,MITRE,OPERACION,COMBUSTIBLES Y ENERGIA,29511978.87,2019-06-01
278,MITRE,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,6863130.0,2019-06-01
279,MITRE,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,10487391.96,2019-06-01
280,MITRE,OPERACION,LIMPIEZA,783335.2,2019-06-01
281,MITRE,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-06-01
282,MITRE,OPERACION,SEGURIDAD,55248254.07,2019-06-01
283,MITRE,OPERACION,SEGUROS,0.0,2019-06-01
284,MITRE,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,558522.67,2019-06-01
285,MITRE,PERSONAL,PERSONAL,541595292.95,2019-06-01
286,ROCA,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-06-01
287,ROCA,INVERSION,MATERIAL RODANTE,13434503.0421,2019-06-01
288,ROCA,INVERSION,SENALES Y TELECOMUNICACIONES,149426.1551,2019-06-01
289,ROCA,INVERSION,VIAS Y OBRAS,84088782.0222,2019-06-01
290,ROCA,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,3106074.18,2019-06-01
291,ROCA,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,11435106.69,2019-06-01
292,ROCA,OPERACION,LIMPIEZA,903107.94,2019-06-01
293,ROCA,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-06-01
294,ROCA,OPERACION,SEGURIDAD,12494377.67,2019-06-01
295,ROCA,OPERACION,SEGUROS,0.0,2019-06-01
296,ROCA,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,124385.38,2019-06-01
297,ROCA,OPERACION,COMBUSTIBLES Y ENERGIA,63524848.99,2019-06-01
298,ROCA,PERSONAL,PERSONAL,781047563.47,2019-06-01
299,SAN MARTIN,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-06-01
300,SAN MARTIN,INVERSION,MATERIAL RODANTE,29883936.4327,2019-06-01
301,SAN MARTIN,INVERSION,SENALES Y TELECOMUNICACIONES,133630.8887,2019-06-01
302,SAN MARTIN,INVERSION,VIAS Y OBRAS,14052652.9534,2019-06-01
303,SAN MARTIN,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,3787393.43,2019-06-01
304,SAN MARTIN,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,9119109.31,2019-06-01
305,SAN MARTIN,OPERACION,LIMPIEZA,962694.36,2019-06-01
306,SAN MARTIN,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-06-01
307,SAN MARTIN,OPERACION,SEGURIDAD,17568705.91,2019-06-01
308,SAN MARTIN,OPERACION,SEGUROS,0.0,2019-06-01
309,SAN MARTIN,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,793823.36,2019-06-01
310,SAN MARTIN,OPERACION,COMBUSTIBLES Y ENERGIA,45880485.36,2019-06-01
311,SAN MARTIN,PERSONAL,PERSONAL,335934485.81,2019-06-01
312,SARMIENTO,INVERSION,MATERIAL RODANTE,5891944.7349,2019-06-01
