INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
4835,RODRIGUEZ FERMIN OESTE,146,VILLA KRAUSE,SJ,ALMACEN/AUTOSERV,-68.53288,-31.572429999999997
4836,RODRIGUEZ DR.,831,SAN FDO DEL VALLE DE CATAMARCA,CT,ALMACEN/AUTOSERV,-65.77462,-28.483520000000002
4837,RODRIGUEZ CAYETANO FRAY,2660,JOSE INGENIEROS,BA,KIOSCO,-58.53631,-34.61911
4838,RODRIGUEZ ALVAREZ RECTOR,283,JUNIN,BA,KIOSCO,-60.94441,-34.598459999999996
4839,RODRIGUEZ A. GRAL.,2228,HURLINGHAM,BA,KIOSCO,-58.63086,-34.60572
4840,RODRIGUEZ,68,BAHIA BLANCA,BA,COMERCIO,-62.267509999999994,-38.71563
4841,RODRIGUEZ,135,BAHIA BLANCA,BA,KIOSCO,-62.26633,-38.71506
4842,RODRIGUEZ,1484,BAHIA BLANCA,BA,KIOSCO,-62.26634,-38.718309999999995
4843,RODRIGUEZ,542,BARADERO,BA,OTROS,-59.50185,-33.80659
4844,RODOLFO RIVAROLA,7080,ROSARIO,SF,ALMACEN/AUTOSERV,-60.7161,-32.96581
4845,RODOLFO RAGUCCI,3852,BERNAL OESTE,BA,KIOSCO,-58.32986999999999,-34.74167
4846,RODOLFO MORENO,560,LUJAN,BA,KIOSCO,-59.131159999999994,-34.56733
4847,RODOLFO LOPEZ,2296,QUILMES,BA,COMERCIO,-58.286590000000004,-34.73165
4848,RODOLFO LOPEZ,2180,QUILMES,BA,FARMACIA,-58.285540000000005,-34.731159999999996
4849,RODOLFO,208,LUJAN,BA,OTROS,-59.13524,-34.56944
4850,RODO JOSE ENRIQUE,4303,PARQUE AVELLANEDA,CF,AGE. DE LOTE,-58.48561,-34.64282
4851,RODO JOSE ENRIQUE,4301,PARQUE AVELLANEDA,CF,KIOSCO,-58.4855,-34.642790000000005
4852,RODO JOSE E.,4271,JOSE CLEMENTE PAZ,BA,KIOSCO,-58.7644,-34.54507
4853,RODNEY,5865,GREGORIO DE LAFERRERE,BA,COMERCIO,-58.61665,-34.73357
4854,RODNEY,3909,GREGORIO DE LAFERRERE,BA,COMERCIO,-58.61212,-34.73741
4855,RODNEY,2805,RAFAEL CASTILLO,BA,KIOSCO,-58.62067,-34.73057
4856,ROCHA DARDO AV.,444,BERAZATEGUI,BA,AGE. DE LOTE,-58.2464,-34.76849
4857,ROCHA DARDO AV.,349,BERAZATEGUI,BA,KIOSCO,-58.24746,-34.76744
4858,ROCHA DARDO AV.,800,BERNAL ESTE,BA,EST. DE SERV.,-58.29831,-34.71555
4859,ROCHA DARDO AV.,1403,BERNAL OESTE,BA,AGE. DE LOTE,-58.30546,-34.7118
4860,ROCHA DARDO AV.,1302,BERNAL OESTE,BA,KIOSCO,-58.30444,-34.71268
4861,ROCHA DARDO AV.,1877,BERNAL OESTE,BA,OTROS,-58.31142,-34.70922
4862,ROCHA DARDO AV.,876,TIGRE,BA,CENTRO DE PAGO,-58.57538,-34.43125
4863,ROCHA DARDO AV.,20,TIGRE,BA,KIOSCO,-58.56766,-34.43502
4864,ROCHA DARDO AV.,1380,TIGRE,BA,KIOSCO,-58.58194,-34.428740000000005
4865,ROCHA DARDO,68,MONTE GRANDE,BA,AGE. DE LOTE,-58.470169999999996,-34.81589
4866,ROCHA BV.,923,PERGAMINO,BA,KIOSCO,-60.56796,-33.89993
4867,ROCHA BV.,1295,PERGAMINO,BA,KIOSCO,-60.56961,-33.903
4868,ROCHA BV.,978,PERGAMINO,BA,KIOSCO,-60.56791,-33.89978
4869,ROCHA,463,CORRIENTES,CR,KIOSCO,-58.78456,-27.46329
4870,ROCCA AGUSTIN ING. AV.,190,CAMPANA,BA,KIOSCO,-58.95867,-34.16015
4871,ROCCA AGUSTIN ING. AV.,197,CAMPANA,BA,KIOSCO,-58.95906,-34.160309999999996
4872,ROCCA,136,CAMPANA,BA,KIOSCO,-58.95859,-34.159209999999995
4873,ROCAMORA AV.,279,GUALEGUAYCHU,ER,EST. DE SERV.,-58.5211,-33.01317
4874,ROCAMORA AV.,234,GUALEGUAYCHU,ER,KIOSCO,-58.521319999999996,-33.012409999999996
4875,ROCAMORA AV.,131,GUALEGUAYCHU,ER,KIOSCO,-58.521390000000004,-33.01068
4876,ROCAMORA AV.,176,GUALEGUAYCHU,ER,KIOSCO,-58.52141999999999,-33.0116
4877,ROCAMORA,5551,GREGORIO DE LAFERRERE,BA,AGE. DE LOTE,-58.603519999999996,-34.7525
4878,ROCAMORA,5626,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.6025,-34.75302
4879,ROCAMORA,5470,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.60487,-34.7514
4880,ROCA RUDECINDO,999,SAN MARTIN DE LOS ANDES,NQ,KIOSCO,-71.35001,-40.15305
4881,ROCA PTE.,610,ROSARIO,SF,AGE. DE LOTE,-60.6446,-32.94292
4882,ROCA PTE.,1097,ROSARIO,SF,KIOSCO,-60.64595,-32.948859999999996
4883,ROCA PTE.,218,ROSARIO,SF,KIOSCO,-60.64358000000001,-32.93843
4884,ROCA NEGRA,3808,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.3137,-41.1722
4885,ROCA JULIO ARGENTINO PRES. GRAL.,789,BURZACO,BA,AGE. DE LOTE,-58.392269999999996,-34.821979999999996
4886,ROCA JULIO ARGENTINO PRES. GRAL.,899,BURZACO,BA,AGE. DE LOTE,-58.39195,-34.82498
4887,ROCA JULIO ARGENTINO PRES. GRAL.,1187,BURZACO,BA,CENTRO DE PAGO,-58.3923,-34.821690000000004
4888,ROCA JULIO ARGENTINO PRES. GRAL.,983,BURZACO,BA,CORREO,-58.39209,-34.82434
4889,ROCA JULIO ARGENTINO PRES. GRAL.,740,HURLINGHAM,BA,AGE. DE LOTE,-58.62301,-34.59336
4890,ROCA JULIO ARGENTINO PRES. GRAL.,1298,HURLINGHAM,BA,AGE. DE LOTE,-58.62922,-34.58853
4891,ROCA JULIO ARGENTINO PRES. GRAL.,693,HURLINGHAM,BA,EST. DE SERV.,-58.62245,-34.59359
