INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
2354,MITRE (54),3973,GENERAL SAN MARTIN,BA,KIOSCO,-58.54224,-34.57809
2355,MITRE,575,BELEN DE ESCOBAR,BA,KIOSCO,-58.79473,-34.347640000000006
2356,MITRE,720,PERGAMINO,BA,ALMACEN/AUTOSERV,-60.5766,-33.89435
2357,MITRE,961,ROSARIO,SF,KIOSCO,-60.639990000000004,-32.94826
2358,MITRE,171,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.3074,-41.1338
2359,MITRE,494,SAN LUIS,SL,COMERCIO,-66.33946,-33.3063
2360,MITRE,4566,SANTA FE,SF,KIOSCO,-60.688430000000004,-31.628629999999998
2361,MISTRAL GABRIELA,1075,ITUZAINGO,BA,KIOSCO,-58.68531,-34.63837
2362,MISIONES,1930,FONTANA,CH,KIOSCO,-59.04885,-27.41096
2363,MISIONES,655,ROLDAN,SF,ALMACEN/AUTOSERV,-60.89606,-32.89416
2364,MISIONES,495,TORTUGUITAS,BA,AGE. DE LOTE,-58.76001,-34.46458
2365,MIRO GABRIEL,856,BELLA VISTA,BA,COMERCIO,-58.72478,-34.596779999999995
2366,MIRANDA,4434,MONTE CASTRO,CF,KIOSCO,-58.49963,-34.61916
2367,MIRALLA J.A.,2002,TABLADA,BA,KIOSCO,-58.48966,-34.65688
2368,MIRAFLORES,2276,PARQUE CHACABUCO,CF,KIOSCO,-58.43786,-34.646570000000004
2369,MIRADOR DE LUJAN,1435,LUJAN,BA,AGE. DE LOTE,-59.10292,-34.55839
2370,MINONES,2113,BELGRANO,CF,KIOSCO,-58.445640000000004,-34.55525
2371,MINISTRO BRIN,501,BOCA,CF,AGE. DE LOTE,-58.36159,-34.62876
2372,MILAN,1382,SANTA ROSA (FLORENCIO VARELA),BA,AGE. DE LOTE,-58.294959999999996,-34.832209999999996
2373,MIGUELETES,827,PALERMO,CF,KIOSCO,-58.4343,-34.56617
2374,MIGUEL MUNOZ,399,CIPOLLETTI,RN,COMERCIO,-67.99410999999999,-38.937490000000004
2375,MIGUEL BENITO DE AV.,1550,JUNIN,BA,ALMACEN/AUTOSERV,-60.97325,-34.61087
2376,MIGUEL BENITO DE AV.,799,JUNIN,BA,EST. DE SERV.,-60.9615,-34.60112
2377,MIGUEL BENITO DE AV.,453,JUNIN,BA,KIOSCO,-60.95523000000001,-34.597
2378,MIGUEL BENITO DE AV.,596,JUNIN,BA,KIOSCO,-60.95825,-34.59856
2379,MIGUEL BENITO DE AV.,522,JUNIN,BA,LOCUTORIO,-60.956880000000005,-34.59775
2380,MICHAY,542,SAN CARLOS DE BARILOCHE,RN,ALMACEN/AUTOSERV,-71.30649,-41.159859999999995
2381,MEXICO,223,BALVANERA,CF,AGE. DE LOTE,-58.398340000000005,-34.61593
2382,MEXICO,2001,BALVANERA,CF,AGE. DE LOTE,-58.394709999999996,-34.6157
2383,MEXICO,1515,MONSERRAT,CF,KIOSCO,-58.387809999999995,-34.61544
2384,MEXICO,699,MONSERRAT,CF,KIOSCO,-58.37585,-34.61487
2385,MEXICO,481,SAN SALVADOR DE JUJUY,JU,ALMACEN/AUTOSERV,-65.30518000000001,-24.1969
2386,MEXICO,1986,SANTA ROSA,LP,KIOSCO,-64.29571,-36.64468
2387,MEXICO,1098,SANTA ROSA,LP,KIOSCO,-64.28726999999999,-36.638040000000004
2388,MEXICO,253,TRELEW,CB,COMERCIO,-65.32994000000001,-43.25832
2389,MEXICO,213,VIEDMA,RN,KIOSCO,-63.0087,-40.815259999999995
2390,METZIG BERNARDO,1842,PABLO PODESTA,BA,KIOSCO,-58.60199,-34.57786
2391,MEROU GARCIA MARTIN,7024,GREGORIO DE LAFERRERE,BA,AGE. DE LOTE,-58.5785,-34.760670000000005
2392,MERLO,2817,MORENO,BA,AGE. DE LOTE,-58.7896,-34.64796
2393,MERLO,5899,WILDE,BA,AGE. DE LOTE,-58.3122,-34.6945
2394,MERCED,817,PERGAMINO,BA,KIOSCO,-60.57507,-33.89613
2395,MENGELLE AV.,242,CIPOLLETTI,RN,KIOSCO,-68.00179,-38.93806
2396,MENGELLE AV.,399,CIPOLLETTI,RN,KIOSCO,-68.00056,-38.93383
2397,MENDOZA SUR,73,SAN JUAN,SJ,KIOSCO,-68.52611999999999,-31.535159999999998
2398,MENDOZA SUR,110,SAN JUAN,SJ,KIOSCO,-68.52571999999999,-31.535840000000004
2399,MENDOZA NORTE,1120,CHIMBAS,SJ,CENTRO DE PAGO,-68.52853,-31.521659999999997
